6143,Head,-0.00538,0.99412,0.10818,0,0.00869,-0.10813,0.9941,0,0.99995,0.00629,-0.00805,0,-0.56386,155.65508,0.02502,1
6143,L_Calf,-0.02042,-0.80446,-0.59366,0,-0.02029,-0.59333,0.80471,0,-0.99959,0.02848,-0.00421,0,7.39337,48.39935,-6.98342,1
6143,L_Clavicle,0.94971,-0.28834,0.1221,0,0.15908,0.10843,-0.98129,0,0.26971,0.95137,0.14885,0,3.64627,144.4596,-1.80394,1
6143,L_Finger0,-0.54249,-0.64298,0.54063,0,0.51372,-0.76312,-0.39209,0,0.66467,0.06503,0.7443,0,22.553,89.19606,22.12661,1
6143,L_Finger01,-0.24351,-0.92295,0.29809,0,0.70634,-0.37938,-0.59763,0,0.66467,0.06503,0.7443,0,19.58374,85.67681,25.08567,1
6143,L_Finger1,-0.27516,-0.86176,0.4262,0,-0.59525,-0.19542,-0.77942,0,0.75496,-0.46816,-0.45919,0,24.48008,84.5061,26.48642,1
6143,L_Finger2,-0.18547,-0.91342,0.3623,0,-0.59893,-0.18722,-0.77861,0,0.77903,-0.3614,-0.51235,0,26.4934,83.76808,25.79697,1
6143,L_Finger3,-0.11425,-0.94236,0.31448,0,-0.59893,-0.18722,-0.77861,0,0.79261,-0.27731,-0.54302,0,28.36666,82.9957,24.8086,1
6143,L_Finger4,-0.09336,-0.94933,0.30009,0,-0.59893,-0.18722,-0.77861,0,0.79534,-0.25243,-0.5511,0,29.98035,82.14217,23.48279,1
6143,L_Finger11,-0.53934,-0.8416,-0.0287,0,-0.37302,0.26933,-0.88787,0,0.75496,-0.46816,-0.45919,0,23.14288,80.31816,28.55766,1
6143,L_Finger21,-0.49266,-0.85828,-0.14368,0,-0.38782,0.36435,-0.84667,0,0.77903,-0.3614,-0.51235,0,25.46992,78.7274,27.79632,1
6143,L_Finger31,-0.45143,-0.86554,-0.2169,0,-0.40986,0.41705,-0.81123,0,0.79261,-0.27731,-0.54302,0,27.81477,78.44371,26.32768,1
6143,L_Finger41,-0.41575,-0.88878,-0.19291,0,-0.44112,0.38255,-0.81183,0,0.79534,-0.25243,-0.5511,0,29.64952,78.77815,24.54618,1
6143,L_Foot,-0.06729,-0.83713,-0.54285,0,0.10601,-0.547,0.83039,0,-0.99209,-0.00167,0.12555,0,6.53126,14.44009,-32.04401,1
6143,L_Forearm,0.00919,-0.80847,0.58846,0,0.56123,-0.48289,-0.67219,0,0.82761,0.33644,0.4493,0,26.73742,113.8962,2.61945,1
